id,title,year,semesters,program,company,abstract,keywords
122,"Decision of Alternatives for MKE’s Fuze Production Capacity Growth",20172018,2,2,367,NULL,"Production Planning; Linear Programming; Fuze; Cost-Benefit Analysis"
123,"Improvement of Electricity Generation Planning at a Hydroelectric Power Plant",20172018,2,2,923,NULL,"Hydroelectric power plant; HEPP; Turkish Electricity Market; Dam optimization; Linear programming application; Simulation"
124,"Design and Evaluation of an Assembly Line for Producing Air-Conditioner – Case Study, 'Untes Company'",20172018,2,2,298,NULL,"Assembly Line Design; Optimization Methods; Simulation Methods; Workstations"
125,"Buffer Stock Problem in Upholstery Workshop",20172018,2,2,485,NULL,"Theory of Constraints; Assembly-line balancing; Time study; furniture sector; bottleneck"
126,"HUIE Department’s Parking Lot Arrangement",20172018,1,2,0,NULL,"Campus Parking; Parking; Parking Problems; Parking Planning; Hacettepe University Industrial Engineering"
127,"Energy Harvesting from Piezoelectricity",20172018,2,2,0,NULL,"Piezoelectricity; Energy harvesting; Energy storage; Pressure; Vibration"
128,"Estimating Future Prices: An Autoregressive Study on Historical Data of Bitcoin",20172018,1,2,0,NULL,"Economy; Bitcoin; Cryptocurrency; MetaQuotes; MetaTrader; Autoregression; Estimation"
129,"Rearrangement of Layout of FIRATPEN Using Hybrid Layout Model",20172018,2,2,1002,NULL,"Layout; Optimization; Efficiency in Production; Hybrid Layout; Machine Positioning"
130," Designing a Digital Twin of a Physical System using Petri Nets",20172018,1,2,0,NULL,"Industry 4.0; Digital twin; Cyber-physical System; Petri nets; Internet of Things; Arduino"
131,"Simulating Computer Aided Military Exercise Process Using Anylogic",20172018,1,2,357,NULL,"Computer Aided Military Exercise; AnyLogic; Simulation; Resource Allocation; Training Center Utilization; Havelsan"
132,"Optimization of Buffer Inventory Using Simulation Studies in Arçelik A.Ş.",20182019,2,2,16,NULL,NULL
133,"On a Manual Assembly Line Embedded with Augmented Reality and IoT Technologies ",20182019,1,2,1134,NULL,NULL
134,"Analyzing and Improving The Functional Testing of Arçelik Dishwasher Plant ",20182019,2,2,16,NULL,NULL
135,"Increasing Number of Sale Points by Using Route Optimization for Red Bull Turkey ",20182019,2,2,1130,NULL,NULL
136,"Industry 4.0 Applications in Intralogistics of Mercedes-Benz Türk Aksaray Truck Plant",20182019,2,2,99,NULL,NULL
137,"An Improvement Study of Buffer Stocks at Arçelik Dishwasher Plant ",20182019,2,2,16,NULL,NULL
138,"Production Planning for Energy Efficiency at Durukan Confectionery",20182019,2,2,834,NULL,NULL
139,"Scrap or Buy Decision Making for Raw Material Stock Reduction at MİTAŞ",20182019,2,2,369,NULL,NULL
140,"Process Improvement Due to Continuous Change in İVME Unmanned Aerial Systems",20182019,2,2,1131,NULL,NULL
141,"Project Prioritization and Order Scheduling at MİTAŞ Polygon Pole Factory",20182019,2,2,369,NULL,NULL
142,"Lean Manufacturing Implementations for Packaging Operations at Tepe Home ",20182019,1,2,485,NULL,NULL
143,"Demand Forecasting and Raw Material Order Planning on Box Industry ",20182019,2,2,1132,NULL,NULL
144,"Predictive Maintenance for Elevator Systems ",20182019,2,2,357,NULL,NULL
145,"A Database Solution for The Cross Functional Team Allocation Problem in Man Türkiye ",20182019,2,2,30,NULL,NULL
146,"Putaway Locations Optimization for Warehouses in Defense Industry",20182019,2,2,139,NULL,NULL
147,"Study of Scheduling in Just-In-Time System",20182019,2,2,1134,NULL,NULL
148,"Raw Materials Inventory Management",20182019,2,2,835,NULL,NULL
149,"Solutions to the Cold Storage Capacity Shortage Problem of an Ice Cream Producer",20182019,1,2,1133,NULL,NULL
150,"Application of Cyber Physical Systems on Autonomous Vehicles: An Approach to Achieve an Efficient Fuel Consumption",20182019,1,2,0,NULL,NULL
151,"Human Resource Allocation in Anova",20182019,1,2,1031,NULL,NULL
152,"Passing into Lean Approach with 5S and Inventory Classification Using ABC-VED Matrix Method at Aktif Elektroteknik",20182019,1,2,1043,NULL,NULL
153,"Spare Parts Inventory Algorithm Under Demand Uncertainty in Arçelik Dishwasher Plant",20182019,1,2,16,NULL,NULL
154,"An Inventory Tracking System Based On UAV and Image Processing",20182019,2,2,0,NULL,"Inventory tracking; UAV; Image processing; Industry 4.0; Inventory accuracy"
155,"Line Balancing at Tepe Home Furniture Facilities",20182019,1,2,485,NULL,"Assembly-line balancing; Time study; Furniture sector; Bottleneck"
156,"Optimization of The Distribution Logistics System for Tepe Home",20182019,1,2,485,NULL,"Distribution Logistics Process; Optimization; Linear Programming; P-Median Method; Discounted Payback Period Method"
157,"Study of Analysis, Monitoring and Reducing of Defective Products",20182019,2,2,1203,NULL,"Defect and fault analysis; SPC; Gauge R&R; Process Capability; Defect Rate"
158,"Feasibility Analysis of Marking Device",20182019,2,2,392,NULL,NULL
159,"ERP Integration for SME",20192020,2,2,1299,NULL,"ERP; Insurance sector; ERP implementation; Canias"
160,"Improvement Study for the Production Control System at MİTAŞ Bolt",20192020,2,2,369,NULL,"Production control; Excel; Database systems; Error reduction"
161,"Re-Designing Order Tracking System",20192020,2,2,484,NULL,NULL
162,"Simulation Modeling of Function Test Lines of a White Appliances Producer and Design Recommendations for a New Function Test Line",20192020,2,2,16,NULL,"Arçelik; Function Test Line; Improvement; Simulation; White goods sector; Demand"
163,"Stock Area Design in Tepe Betopan A.Ş.",20192020,1,2,196,NULL,"Storage space; Warehouse storage planning; Shelf assignment; Mathematical model; Stock area layout; Heuristic algorithm"
164,"A Comprehensive Analysis and Modeling of the Production System and Optimal Scheduling of a Project Based Company",20192020,2,2,369,NULL,"Process analysis; Regression; Curve-fitting; Simulation; Scheduling"
165,"“Q-Track” Database Embedded Risk Analysis",20192020,2,2,30,NULL,"Risk analysis; Risk calculation (estimation); Risk management; Access database system; Quality department"
166,"Decision Support System for Logistic and Vehicle Routing Optimization",20192020,2,2,139,NULL,"Logistic operations; Decision support systems; Logistics planning and optimization; Supply chain management systems; Logistics automation systems"
167,"A Tool for Sector Analysis and Monitoring: A Multi-Criteria Decision Approach and a Web-Based Application",20192020,2,2,208,NULL,"Sector analysis; Kraljic Portfolio Matrix; Multi criteria decision making; Purchasing portfolio; Web application; Supply chain management"
168,"Cyber-Physical Pick by Light System for Manual Assembly Line",20192020,2,2,1134,NULL,"Cyber-Physical systems; Augmented reality; Pick-by-Light; Assembly line"
169,"Integration of SAP into Production at Ulusoy Electric Eaton",20192020,2,2,359,NULL,"Lean manufacturing; SAP; Inventory controlling; Root cause analysis; Monte Carlo simulation"
170,"TUSAŞ Personnel Buses Routing and Assignment Optimization",20192020,2,2,15,NULL,"Service route; Route optimization; Progress payment; Database; Algorithm"
171,"An Improvement Study on the Assembly Line Area at Siemens: Redesign of Facility Layout, Assembly Line & Material Handling System",20192020,2,2,782,NULL,"Layout redesign; Mixed model line balancing; Material handling; Occupational health and safety; Simulation modeling"
172,"Decision Support System with Power BI for Waste Reduction and Stock Control of Raw Material",20192020,2,2,369,NULL,"Decision support system; Waste reduction; Mathematical modeling and optimization; Power BI DAX; Inventory planning; Production planning"
173,"Operation Analyses and Optimization Techniques in Receiving Area at FNSS Defense Systems",20192020,2,2,139,NULL,"BPMN; ARENA; Quality control; Simulation; Process optimization; Task assignment; Overtime; Receiving; Shelf design"
174,"An Inventory Tracking System Based on UAV and RFID",20192020,1,2,1113,NULL,"Inventory tracking; UAV; RFID; Image processing; Industry 4.0; Inventory accuracy"
175,"An Approach to Optimize Setup Time in a Machine at Aksan Steel Forging Factory",20192020,2,2,477,NULL,"Unrelated parallel machine scheduling; Heuristic; Mixed integer mathematical modeling"
176,"Capacity Planning and Workforce Assignment in Composite Production Area",20192020,1,2,15,NULL,"Capacity Planning; Workforce Assignment; One-Dimensional Bin Packing; Management Information Systems; Decision Support Systems"
177,"Developing a New Model with Using MCDM Methods for Supplier Evaluation Process and its Application in Defence Industry",20192020,1,2,139,NULL,"Supplier Selection in Defense Industry; AHP; ANP; TOPSIS; Multicriteria Decision Making; MCDM"
